id	name	arcana	level	description	image	strength	magic	endurance	agility	luck	weak	resists	reflects	absorbs	nullifies	dlc	query
1	Orpheus	Fool	1	A poet of Greek mythology skilled with the lyre. He tried to retrieve his wife from Hades, but she vanished when he looked upon her before reaching the surface.	https://megatenwiki.com/images/b/b3/P3_Orpheus_Artwork.png	3	1	2	3	1	Electric,Dark	Fire				0	orpheus
2	Slime	Fool	12	A primitive monster with a viscous body. There are various theories as to its origin, but it is still under debate. Said to compulsively collect shiny objects.	https://megatenwiki.com/images/7/70/P5X_Slime_Artwork.png	10	6	14	6	7	Fire,Wind	Slash,Strike,Dark				0	slime
3	Arsène	Fool	23	A Persona that granted power to a hero in another story. He is a being based off the main character of Maurice Leblanc's novels, Arsène Lupin. He appears everywhere and is a master of disguise.	https://megatenwiki.com/images/0/0e/P5X_Ars%C3%A8ne_Artwork.png	17	17	14	18	11	Light	Dark				1	arsene
4	Legion	Fool	26	The spirit who said in ancient scripture, ''For we are many.'' The name comes from the Roman military term for an army unit of 3,000 to 6,000 men.	https://megatenwiki.com/images/c/cf/P3_Legion_Artwork.png	16	14	26	9	20	Pierce,Light	Slash,Strike,Fire				0	legion
5	Black Frost	Fool	37	A Jack Frost that wished for evil powers. This powerful demon is born when a cute Jack Frost remembers its nature as a demon.	https://megatenwiki.com/images/0/0f/P5X_Black_Frost_Artwork.png	22	34	23	25	20	Light		Dark	Ice	Fire	0	black-frost
6	Ose	Fool	41	One of the 72 demons of the Goetia, he is known as the President of Hell. He can shape-shift from leopard to human and reveal the truth behind divine mysteries. 	https://megatenwiki.com/images/1/10/P5X_Ose_Artwork.png	32	23	28	25	22	Light				Dark	0	ose
7	Izanagi	Fool	46	A Persona that granted power to a hero in another story. He is one of the gods who existed before Japan was formed. He created the Oyashima from chaos, then birthed countless children and laid the foundation of soil and nature.	https://megatenwiki.com/images/5/59/P4_Izanagi_Artwork.png	31	30	25	31	28	Wind	Electric			Dark	1	izanagi
8	Decarabia	Fool	54	One of the 72 demons of the Goetia, this demon appears as a pentacle. Keeper of jewels and herbal lore, Decarabia is said to have the ability to shape-shift at will.	https://megatenwiki.com/images/2/24/P5X_Decarabia_Artwork.png	35	35	35	35	35	Slash					0	decarabia
9	Loki	Fool	69	A malignant god of Norse mythology. Impulsive and devious, but not always driven by malice. He had an uneasy peace with Odin and the gods, but his part in Baldr's death drove them to finally punish him.	https://megatenwiki.com/images/9/96/SH1_Loki_Artwork.png	48	60	45	42	28	Fire	Dark		Wind	Ice	0	loki
10	Susano-o	Fool	77	A god of Japanese legend, born along with Amaterasu and Tsukuyomi. He was cast out for lewd behavior, but redeemed himself with heroic deeds like slaying Yamata-no-Orochi.	https://megatenwiki.com/images/b/ba/SH1_Susano-o_Artwork.png	71	35	43	49	55	Electric,Light		Pierce		Wind	0	susano-o
11	Satanael	Fool	89	A Persona of another story. An archangel who is said to be the form of Satan before he fell from Heaven. The second son of God, he rebelled against Him for freedom and bestowed free will and chaos upon humanity.	https://megatenwiki.com/images/8/8e/P5_Satanael_Render.png	63	60	57	56	56		Fire,Ice,Electric,Wind		Dark	Light	1	satanael
